D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
91347|2017|Hyundai|Sonata|Sedan|Blue|62000|10995.00
26483|2019|Kia|Sorento|SUV|Gray|41000|15995.00
37592|2021|Tesla|Model 3|Electric|White|12000|37995.00
10473|2016|Jeep|Wrangler|SUV|Green|84000|18995.00
83645|2022|Ford|Bronco|SUV|Black|5000|41995.00
72318|2014|Chevrolet|Impala|Sedan|Silver|99000|8995.00
55247|2013|BMW|X5|SUV|White|110000|15995.00
68241|2020|Toyota|RAV4|SUV|Red|36000|23995.00
